Month_Ending,FY_Start_Date,FY_End_Date,PARTYEAR,Age_Band,FCE,FCEs_With_Procedure,Ordinary_Admission_Episodes,FCE_DAY_CASES,FCE_DAY_WITH_PROCEDURE,FAE,EMERGENCY,Total_Appointments,Attended_Appointments,DNA_Appointments,First_Attendance,Follow_Up_Attendance
31JUL2026,01APR2026,31MAR2027,202604,01. 0 - 4,106590,18830,95198,11392,7022,98182,33812,371062,279489,26649,123392,156065
31JUL2026,01APR2026,31MAR2027,202604,02. 5 - 9,26871,11382,14626,12245,7976,25532,11028,315542,228405,24462,81784,146545
31JUL2026,01APR2026,31MAR2027,202604,03. 10 - 14,27269,11882,15326,11943,7792,25810,11347,374865,275478,26979,91103,184292
31JUL2026,01APR2026,31MAR2027,202604,04. 15,7054,3073,3960,3094,2046,6675,2868,97260,71026,7154,21018,49990
31JUL2026,01APR2026,31MAR2027,202604,05. 16,7189,3199,3907,3282,2183,6657,2526,91249,64639,7900,17881,46737
31JUL2026,01APR2026,31MAR2027,202604,06. 17,7307,2883,4439,2868,1845,6585,2863,86061,62324,7440,18282,44020
31JUL2026,01APR2026,31MAR2027,202604,07. 18,8342,2946,5452,2890,1768,7389,3304,75504,53407,7596,17800,35594
31JUL2026,01APR2026,31MAR2027,202604,08. 19,9275,3093,6521,2754,1736,8239,3655,73094,52846,7189,17872,34964
31JUL2026,01APR2026,31MAR2027,202604,09. 20 - 24,56727,19067,40447,16280,10489,50970,19171,420847,308384,40332,108558,199776
31JUL2026,01APR2026,31MAR2027,202604,10. 25 - 29,83174,28798,61482,21692,14344,76244,23135,654779,490696,52056,167312,323312
31JUL2026,01APR2026,31MAR2027,202604,11. 30 - 34,104214,38039,76218,27996,18480,95846,26289,865799,654979,59356,213856,441003
31JUL2026,01APR2026,31MAR2027,202604,12. 35 - 39,98481,39545,64193,34288,22706,88740,27123,821870,615817,57515,210148,405512
31JUL2026,01APR2026,31MAR2027,202604,13. 40 - 44,82130,36055,45280,36850,24760,72005,25428,671345,498466,48484,180619,317686
31JUL2026,01APR2026,31MAR2027,202604,14. 45 - 49,81163,37632,40995,40168,27130,69794,23980,645425,484823,42742,174633,310042
31JUL2026,01APR2026,31MAR2027,202604,15. 50 - 54,94899,45842,46287,48612,33383,81097,25741,733866,561111,42619,195961,364975
31JUL2026,01APR2026,31MAR2027,202604,16. 55 - 59,124730,60379,60921,63809,43666,105024,31791,923701,716579,46661,241153,475184
31JUL2026,01APR2026,31MAR2027,202604,17. 60 - 64,149967,73175,73108,76859,52971,124964,36160,1050412,828408,45154,268286,559847
31JUL2026,01APR2026,31MAR2027,202604,18. 65 - 69,158590,76805,78129,80461,55752,130199,37282,1041753,834170,37660,260964,572954
31JUL2026,01APR2026,31MAR2027,202604,19. 70 - 74,164434,78674,83948,80486,56635,131602,38703,985771,796547,30855,246466,549870
31JUL2026,01APR2026,31MAR2027,202604,20. 75 - 79,194315,88253,106006,88309,62682,150501,49303,1080563,875873,31859,269024,606669
31JUL2026,01APR2026,31MAR2027,202604,21. 80 - 84,160992,65152,99383,61609,43592,117286,46881,810964,651946,26068,200523,451319
31JUL2026,01APR2026,31MAR2027,202604,22. 85 - 89,107964,35185,78530,29434,20284,70794,37268,467205,368115,18335,114253,253809
31JUL2026,01APR2026,31MAR2027,202604,23. 90+,65586,15980,55490,10096,6813,38666,26734,228836,176992,10034,52870,124101
31JUL2026,01APR2026,31MAR2027,202604,24. unknown,17723,9911,10535,7188,5764,14876,3151,74395,58007,5010,17380,40626
30JUN2026,01APR2026,31MAR2027,202604,01. 0 - 4,104998,27396,94004,10994,9343,96754,34606,380265,288085,26608,127725,160331
30JUN2026,01APR2026,31MAR2027,202604,02. 5 - 9,27527,15936,15183,12344,11081,26199,11617,328564,246135,22736,87392,158663
30JUN2026,01APR2026,31MAR2027,202604,03. 10 - 14,28875,16853,16794,12081,10857,27192,12720,393421,299442,25321,98995,200326
30JUN2026,01APR2026,31MAR2027,202604,04. 15,6856,3928,4104,2752,2486,6451,3091,96825,70261,6795,20790,49447
30JUN2026,01APR2026,31MAR2027,202604,05. 16,5906,3463,3447,2459,2205,5393,2397,89990,62060,7701,17480,44539
30JUN2026,01APR2026,31MAR2027,202604,06. 17,7296,4143,4436,2860,2586,6499,2825,87549,63865,7541,19051,44796
30JUN2026,01APR2026,31MAR2027,202604,07. 18,7735,4080,5076,2659,2400,6868,3150,75996,53827,7482,17751,36067
30JUN2026,01APR2026,31MAR2027,202604,08. 19,9110,4640,6362,2748,2504,8016,3514,73929,53733,7386,18483,35241
30JUN2026,01APR2026,31MAR2027,202604,09. 20 - 24,53864,27854,38223,15641,14374,48430,18370,421966,310061,39972,110158,199872
30JUN2026,01APR2026,31MAR2027,202604,10. 25 - 29,79234,41833,58072,21162,19455,72649,21641,654302,490342,51576,168917,321359
30JUN2026,01APR2026,31MAR2027,202604,11. 30 - 34,101251,55859,73194,28057,25790,92917,25375,860457,651013,58369,216106,434810
30JUN2026,01APR2026,31MAR2027,202604,12. 35 - 39,96040,57840,61918,34122,31607,86617,26740,827676,622112,56882,217416,404577
30JUN2026,01APR2026,31MAR2027,202604,13. 40 - 44,82503,53996,44368,38135,35500,72348,24875,683198,512482,47444,189649,322702
30JUN2026,01APR2026,31MAR2027,202604,14. 45 - 49,81087,55157,40079,41008,38209,69923,23480,659806,500942,42085,184198,316621
30JUN2026,01APR2026,31MAR2027,202604,15. 50 - 54,93967,64827,45660,48307,45098,79974,25351,746569,573940,42051,203328,370430
30JUN2026,01APR2026,31MAR2027,202604,16. 55 - 59,122272,85373,59276,62996,58883,102629,30684,932814,724438,46436,247305,476919
30JUN2026,01APR2026,31MAR2027,202604,17. 60 - 64,145336,101655,70838,74498,69599,120699,34879,1054641,830055,45474,272759,557075
30JUN2026,01APR2026,31MAR2027,202604,18. 65 - 69,153787,106554,76153,77634,72716,125519,36077,1046830,836272,37628,265797,570258
30JUN2026,01APR2026,31MAR2027,202604,19. 70 - 74,159770,107628,82438,77332,72547,127042,37913,992744,801097,30806,250485,550434
30JUN2026,01APR2026,31MAR2027,202604,20. 75 - 79,191654,123155,105920,85734,80382,147329,49107,1095943,886449,32092,275370,610924
30JUN2026,01APR2026,31MAR2027,202604,21. 80 - 84,158165,91841,99221,58944,55208,113909,46611,811820,651125,26480,203397,447630
30JUN2026,01APR2026,31MAR2027,202604,22. 85 - 89,107580,53147,79562,28018,26111,69865,37711,473944,372799,18811,116966,255791
30JUN2026,01APR2026,31MAR2027,202604,23. 90+,66257,26139,56440,9817,9102,39057,27460,232179,179169,10181,54529,124627
30JUN2026,01APR2026,31MAR2027,202604,24. unknown,24029,14444,16050,7979,7398,19664,4560,75473,59337,5240,17644,41692
31MAY2026,01APR2026,31MAR2027,202604,01. 0 - 4,108440,27563,98209,10231,8609,99755,37505,335408,255547,23268,113669,141856
31MAY2026,01APR2026,31MAR2027,202604,02. 5 - 9,26665,14900,15285,11380,10106,25300,11855,285605,213696,19837,75998,137617
31MAY2026,01APR2026,31MAR2027,202604,03. 10 - 14,26578,15757,15476,11102,9981,25056,11687,340617,257765,22143,86967,170678
31MAY2026,01APR2026,31MAR2027,202604,04. 15,6485,3617,3984,2501,2289,6085,3037,84902,62137,6099,18932,43180
31MAY2026,01APR2026,31MAR2027,202604,05. 16,5467,3084,3432,2035,1835,4988,2416,77114,53190,6442,15286,37871
31MAY2026,01APR2026,31MAR2027,202604,06. 17,6766,3834,4169,2597,2363,6036,2677,77329,56973,6355,17022,39930
31MAY2026,01APR2026,31MAR2027,202604,07. 18,7324,3746,5031,2293,2078,6425,3127,66161,47608,6300,16245,31356
31MAY2026,01APR2026,31MAR2027,202604,08. 19,8480,4268,6088,2392,2183,7515,3431,64103,46756,6288,16441,30305
31MAY2026,01APR2026,31MAR2027,202604,09. 20 - 24,52178,27156,37749,14429,13290,47041,18033,376603,279060,34763,99019,179995
31MAY2026,01APR2026,31MAR2027,202604,10. 25 - 29,76788,40932,57083,19705,18207,70446,21141,589331,444279,45617,150885,293319
31MAY2026,01APR2026,31MAR2027,202604,11. 30 - 34,97383,54227,71656,25727,23761,89566,24254,773447,589480,51592,193386,396009
31MAY2026,01APR2026,31MAR2027,202604,12. 35 - 39,90208,54525,59346,30862,28701,81538,24929,738593,558211,50103,191548,366535
31MAY2026,01APR2026,31MAR2027,202604,13. 40 - 44,76871,50528,42461,34410,32110,67482,23803,602658,454549,40922,165497,288923
31MAY2026,01APR2026,31MAR2027,202604,14. 45 - 49,75844,51936,38474,37370,34949,65171,22699,581485,443820,36635,160654,283023
31MAY2026,01APR2026,31MAR2027,202604,15. 50 - 54,88949,62309,43994,44955,42182,75890,24725,666890,515876,37298,180473,335206
31MAY2026,01APR2026,31MAR2027,202604,16. 55 - 59,115267,81303,57449,57818,54350,96622,30087,829076,649201,40745,217972,430984
31MAY2026,01APR2026,31MAR2027,202604,17. 60 - 64,137555,97184,68548,69007,65001,114229,34301,936592,743088,39698,241075,501726
31MAY2026,01APR2026,31MAR2027,202604,18. 65 - 69,143390,100496,73398,69992,66036,116951,35198,922180,740546,32947,232837,507426
31MAY2026,01APR2026,31MAR2027,202604,19. 70 - 74,150239,102714,79591,70648,66683,119520,37197,875841,710759,27373,219882,490620
31MAY2026,01APR2026,31MAR2027,202604,20. 75 - 79,181860,118126,103272,78588,74115,139578,48727,967377,787169,28294,240891,546015
31MAY2026,01APR2026,31MAR2027,202604,21. 80 - 84,148710,87543,95315,53395,50216,106947,45478,712960,575414,23157,177742,397468
31MAY2026,01APR2026,31MAR2027,202604,22. 85 - 89,102715,51790,76748,25967,24362,67287,37256,419402,332266,16520,103029,229123
31MAY2026,01APR2026,31MAR2027,202604,23. 90+,64254,26407,55226,9028,8393,37726,26997,205082,159886,8916,47705,112161
31MAY2026,01APR2026,31MAR2027,202604,24. unknown,23482,13830,16297,7185,6622,19084,4681,66414,52407,4680,15861,36546
30APR2026,01APR2026,31MAR2027,202604,01. 0 - 4,104924,27063,94647,10277,8698,96452,36772,357365,273810,24332,122552,151223
30APR2026,01APR2026,31MAR2027,202604,02. 5 - 9,25409,14760,13939,11470,10258,24184,10763,296963,222023,20601,78278,143664
30APR2026,01APR2026,31MAR2027,202604,03. 10 - 14,26092,15706,14781,11311,10248,24607,10988,350598,266841,22724,87387,179361
30APR2026,01APR2026,31MAR2027,202604,04. 15,6642,3895,3906,2736,2509,6214,2876,92199,69332,6190,20052,49254
30APR2026,01APR2026,31MAR2027,202604,05. 16,6510,3851,3784,2726,2504,5971,2639,88917,66126,6634,18483,47623
30APR2026,01APR2026,31MAR2027,202604,06. 17,6714,3860,4110,2604,2408,6047,2645,82976,61952,6626,18177,43757
30APR2026,01APR2026,31MAR2027,202604,07. 18,7743,4079,5225,2518,2275,6862,3257,72202,52874,6617,17403,35458
30APR2026,01APR2026,31MAR2027,202604,08. 19,8641,4342,6085,2556,2311,7729,3444,69017,50424,6681,17351,33062
30APR2026,01APR2026,31MAR2027,202604,09. 20 - 24,52674,26908,37984,14690,13530,47420,18219,398410,295843,35941,103508,192286
30APR2026,01APR2026,31MAR2027,202604,10. 25 - 29,77063,40388,57227,19836,18269,70644,21289,623831,470555,48190,159537,310960
30APR2026,01APR2026,31MAR2027,202604,11. 30 - 34,96975,53523,70834,26141,24089,89130,24797,822537,626369,54707,205989,420289
30APR2026,01APR2026,31MAR2027,202604,12. 35 - 39,90371,54574,58556,31815,29521,81583,25300,777750,585806,52396,199815,385879
30APR2026,01APR2026,31MAR2027,202604,13. 40 - 44,76648,50266,41811,34837,32567,67405,23528,636539,477938,43281,172279,305527
30APR2026,01APR2026,31MAR2027,202604,14. 45 - 49,75765,52090,37915,37850,35436,65449,22464,615783,467410,38748,167132,300140
30APR2026,01APR2026,31MAR2027,202604,15. 50 - 54,90170,62987,44133,46037,43213,76830,24616,708809,547017,39215,188869,357946
30APR2026,01APR2026,31MAR2027,202604,16. 55 - 59,117214,82500,57692,59522,55838,98397,30195,883673,691427,43048,229204,461976
