PARTYEAR,Month_Ending,FY_Start_Date,FY_End_Date,TRETSPEF,TRETSPEF_DESCRIPTION,FCE,FCEs_With_Procedure,Ordinary_Admission_Episodes,FCE_DAY_CASES,FCE_DAY_WITH_PROCEDURE,FAE,EMERGENCY,Total_Appointments,Attended_Appointments,DNA_Appointments,First_Attendance,Follow_Up_Attendance,Latest_Month_Flag
202604,31JUL26,01APR26,31MAR27,&,Not Known,1590,261,1576,14,10,1158,268,57486,31405,7330,4485,26698,1
202604,31JUL26,01APR26,31MAR27,100,General Surgery Service,114582,52181,75110,39472,28555,102324,55491,212233,162852,10898,67920,94926,1
202604,31JUL26,01APR26,31MAR27,101,Urology Service,66473,35178,30019,36454,23006,61895,15956,393112,288542,21715,90351,198182,1
202604,31JUL26,01APR26,31MAR27,102,Transplant Surgery Service,1576,847,1187,389,284,1183,385,14808,11954,820,1144,10810,1
202604,31JUL26,01APR26,31MAR27,103,Breast Surgery Service,7840,4912,1769,6071,3916,7696,105,181757,144164,6570,68763,75401,1
202604,31JUL26,01APR26,31MAR27,104,Colorectal Surgery Service,32663,18938,9619,23044,15469,29975,3518,143718,108758,7129,51520,57238,1
202604,31JUL26,01APR26,31MAR27,105,Hepatobiliary and Pancreatic Surgery Service,4037,1571,3318,719,363,2873,1023,15093,11239,766,3460,7776,1
202604,31JUL26,01APR26,31MAR27,106,Upper Gastrointestinal Surgery Service,10277,5567,4874,5403,3684,8834,1988,29818,21057,1647,10419,10638,1
202604,31JUL26,01APR26,31MAR27,107,Vascular Surgery Service,9779,4797,5631,4148,2232,8529,2317,72331,51180,4283,24827,26353,1
202604,31JUL26,01APR26,31MAR27,108,Spinal Surgery Service,6323,3742,3316,3007,2190,5857,947,46176,34307,1916,12242,22064,1
202604,31JUL26,01APR26,31MAR27,109,Bariatric Surgery Service,387,165,301,86,43,385,6,7532,4623,566,1023,3600,1
202604,31JUL26,01APR26,31MAR27,110,Trauma and Orthopaedic Service,91008,54506,56795,34213,24365,83004,24144,809986,632885,39908,233573,399293,1
202604,31JUL26,01APR26,31MAR27,111,Orthopaedic Service,3128,1952,1743,1385,866,2924,484,19435,14006,991,4823,9183,1
202604,31JUL26,01APR26,31MAR27,113,Endocrine Surgery Service,97,40,91,6,0,93,0,1090,555,40,147,408,1
202604,31JUL26,01APR26,31MAR27,115,Trauma Surgery Service,1015,386,891,124,31,825,594,7155,5899,479,2559,3340,1
202604,31JUL26,01APR26,31MAR27,120,Ear Nose and Throat Service,26355,13054,12490,13865,8353,25390,7862,346390,244886,21841,114868,130016,1
202604,31JUL26,01APR26,31MAR27,130,Ophthalmology Service,82112,65674,2412,79700,64246,81465,1269,1081182,810073,58525,216354,593685,1
202604,31JUL26,01APR26,31MAR27,140,Oral Surgery Service,12503,7890,1480,11023,7259,12201,640,92445,64636,6719,28841,35795,1
202604,31JUL26,01APR26,31MAR27,141,Restorative Dentistry Service,484,188,63,421,187,482,0,38556,28078,2023,4707,23371,1
202604,31JUL26,01APR26,31MAR27,142,Paediatric Dentistry Service,2508,1622,126,2382,1592,2508,2,13650,9100,1195,3143,5957,1
202604,31JUL26,01APR26,31MAR27,143,Orthodontic Service,70,30,6,64,30,69,3,78653,57469,4463,4279,53189,1
202604,31JUL26,01APR26,31MAR27,144,Maxillofacial Surgery Service,8652,4181,2672,5980,2910,8369,1554,68317,46706,4525,18106,28600,1
202604,31JUL26,01APR26,31MAR27,145,Oral and Maxillofacial Surgery Service,3221,1433,832,2389,1158,3154,466,18905,13163,1258,5321,7839,1
202604,31JUL26,01APR26,31MAR27,150,Neurosurgical Service,7747,4037,6308,1439,849,6499,2152,49734,34283,2254,11519,22764,1
202604,31JUL26,01APR26,31MAR27,160,Plastic Surgery Service,23850,12631,6054,17796,10111,23277,3714,131521,99668,6549,33899,65769,1
202604,31JUL26,01APR26,31MAR27,161,Burns Care Service,469,175,421,48,26,418,320,7400,5672,474,1648,4024,1
202604,31JUL26,01APR26,31MAR27,170,Cardiothoracic Surgery Service,518,236,510,8,1,286,95,3390,2657,131,1230,1427,1
202604,31JUL26,01APR26,31MAR27,171,Paediatric Surgery Service,4736,2555,2747,1989,1261,4209,1399,19618,13593,1387,6047,7546,1
202604,31JUL26,01APR26,31MAR27,172,Cardiac Surgery Service,3301,1637,3240,61,32,2256,351,12033,9037,543,2755,6282,1
202604,31JUL26,01APR26,31MAR27,173,Thoracic Surgery Service,3191,1801,2916,275,143,2838,426,11114,9002,367,3016,5986,1
202604,31JUL26,01APR26,31MAR27,174,Cardiothoracic Transplantation Service,266,127,226,40,21,218,53,2294,1813,121,129,1684,1
202604,31JUL26,01APR26,31MAR27,180,Emergency Medicine Service,56225,8060,56010,215,109,55380,55046,23618,21066,1259,16503,4563,1
202604,31JUL26,01APR26,31MAR27,190,Anaesthetic Service,1405,733,654,751,533,1058,258,158870,128535,6620,51709,76826,1
202604,31JUL26,01APR26,31MAR27,191,Pain Management Service,13564,9528,237,13327,9370,13402,38,88641,64779,5964,20805,43785,1
202604,31JUL26,01APR26,31MAR27,192,Intensive Care Medicine Service,3642,1172,3620,22,18,1319,1183,2306,1631,157,753,878,1
202604,31JUL26,01APR26,31MAR27,199,"Non-UK Provider; specialty function not known, tre",27,27,0,27,27,27,0,54,53,0,36,17,1
202604,31JUL26,01APR26,31MAR27,211,Paediatric Urology Service,1888,1484,387,1501,1228,1847,94,10766,7198,845,2589,4609,1
202604,31JUL26,01APR26,31MAR27,212,Paediatric Transplantation Surgery Service,30,20,26,4,1,17,3,66,61,0,0,61,1
202604,31JUL26,01APR26,31MAR27,213,Paediatric Gastrointestinal Surgery Service,11,1,1,10,1,11,1,7,5,1,2,3,1
202604,31JUL26,01APR26,31MAR27,214,Paediatric Trauma and Orthopaedic Service,2520,1587,1474,1046,665,2371,623,47779,33806,3143,14401,19405,1
202604,31JUL26,01APR26,31MAR27,215,Paediatric Ear Nose and Throat Service,3581,2333,1155,2426,1632,3500,392,28134,17773,2225,8666,9107,1
202604,31JUL26,01APR26,31MAR27,216,Paediatric Ophthalmology Service,827,606,77,750,553,818,18,52153,33632,5238,9923,23709,1
202604,31JUL26,01APR26,31MAR27,217,Paediatric Oral and Maxillofacial Surgery Service,527,402,194,333,262,523,136,2669,1757,187,778,979,1
202604,31JUL26,01APR26,31MAR27,218,Paediatric Neurosurgery Service,871,558,633,238,185,705,224,3487,2613,174,674,1939,1
202604,31JUL26,01APR26,31MAR27,219,Paediatric Plastic Surgery Service,1944,1352,772,1172,848,1911,510,12595,9513,851,3797,5716,1
202604,31JUL26,01APR26,31MAR27,220,Paediatric Burns Care Service,346,194,223,123,68,336,163,4604,3860,228,849,3011,1
202604,31JUL26,01APR26,31MAR27,221,Paediatric Cardiac Surgery Service,294,204,279,15,10,168,7,170,148,6,65,83,1
202604,31JUL26,01APR26,31MAR27,222,Paediatric Thoracic Surgery Service,5,4,5,0,0,0,0,1,0,1,0,0,1
202604,31JUL26,01APR26,31MAR27,223,Paediatric Epilepsy Service,119,57,60,59,39,93,15,9432,7064,582,1360,5704,1
202604,31JUL26,01APR26,31MAR27,240,Paediatric Palliative Medicine Service,1,0,1,0,0,1,0,430,384,28,49,335,1
202604,31JUL26,01APR26,31MAR27,241,Paediatric Pain Management Service,115,114,1,114,114,114,0,485,392,15,77,313,1
202604,31JUL26,01APR26,31MAR27,242,Paediatric Intensive Care Service,696,346,695,1,0,231,172,1399,1360,37,27,1333,1
202604,31JUL26,01APR26,31MAR27,250,Paediatric Hepatology Service,228,73,75,153,18,223,18,143,135,8,3,132,1
